"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Bernheze";"GM1721";31240;300;"Noord-Brabant";78;8,68849460398756
"Best";"GM0753";29988;201;"Noord-Brabant";75;16,6733360010671
"Beuningen";"GM0209";25890;47;"Gelderland";78;3,86249517188103
"Beverwijk";"GM0375";41626;110;"Noord-Holland";65;18,5323733106369
"Bladel";"GM1728";20394;303;"Noord-Brabant";76;10,5072920606901
"Blaricum";"GM0376";11540;111;"Noord-Holland";76;11,1413716266403
"Bloemendaal";"GM0377";23571;112;"Noord-Holland";79;10,30321763426
"Bodegraven-Reeuwijk";"GM1901";34872;326;"Zuid-Holland";70;9,42221348277783
"Boekel";"GM0755";10785;202;"Noord-Brabant";76;10,5967282601497
"Borger-Odoorn";"GM1681";25559;283;"Drenthe";77;15,0911336794979
"Borne";"GM0147";23312;24;"Overijssel";78;12,8689087165408
"Borsele";"GM0654";22739;185;"Zeeland";71;11,3084505538
"Boxmeer";"GM0756";29365;203;"Noord-Brabant";79;7,78380482109411
"Boxtel";"GM0757";30802;204;"Noord-Brabant";76;14,8413368334153
"Breda";"GM0758";184070;205;"Noord-Brabant";72;10,0117191441144
"Brielle";"GM0501";17271;147;"Zuid-Holland";73;6,61720307369083
"Bronckhorst";"GM1876";36055;317;"Gelderland";80;10,3017215761634
"Brummen";"GM0213";20726;48;"Gelderland";77;6,89265380956976
"Brunssum";"GM0899";27821;247;"Limburg";69;15,9180885970002
"Bunnik";"GM0312";15191;87;"Utrecht";82;5,64243866198971
"Bunschoten";"GM0313";21866;88;"Utrecht";63;7,83996027753459
"Buren";"GM0214";26749;49;"Gelderland";73;5,87471894810487
"Capelle aan den IJssel";"GM0502";67122;148;"Zuid-Holland";66;19,5805505540019
"Castricum";"GM0383";35986;113;"Noord-Holland";75;11,1154337798033
"Coevorden";"GM0109";35297;19;"Drenthe";76;19,0222560395663
"Cranendonck";"GM1706";21138;294;"Noord-Brabant";75;8,10997120960221
"Cuijk";"GM1684";25130;284;"Noord-Brabant";75;11,9379228014325
"Culemborg";"GM0216";28955;50;"Gelderland";73;10,8542812738979
"Dalfsen";"GM0148";28587;25;"Overijssel";77;6,49645942961086
"Dantumadiel";"GM1891";18922;320;"Fryslân";64;40,7688707022816
"De Bilt";"GM0310";43137;86;"Utrecht";76;9,93512364261373
"De Fryske Marren";"GM1940";51564;335;"Fryslân";71;21,8868091802697
"De Ronde Venen";"GM0736";44456;196;"Utrecht";74;23,4581865857734
"De Wolden";"GM1690";24330;286;"Drenthe";76;6,4588104045564
"Delft";"GM0503";103595;149;"Zuid-Holland";68;14,3415636441362
"Den Helder";"GM0400";56297;123;"Noord-Holland";69;14,9716173660611
"Deurne";"GM0762";32471;206;"Noord-Brabant";76;6,59929519527314
"Deventer";"GM0150";100719;26;"Overijssel";73;15,6021065680614
"Diemen";"GM0384";30781;114;"Noord-Holland";66;18,5643277160772
"Dinkelland";"GM1774";26462;313;"Overijssel";76;10,2572961767278
"Doesburg";"GM0221";11077;51;"Gelderland";75;19,3451037542398
"Doetinchem";"GM0222";58005;52;"Gelderland";75;8,3736623690076
"Dongen";"GM0766";26222;208;"Noord-Brabant";77;9,2615796986173
"Dordrecht";"GM0505";119284;150;"Zuid-Holland";66;16,7667080245465
