Gemeentecode;Gemeentenaam;aantal_inwoners;gemeente_getal
GM0758;Breda;184070;208
GM0762;Deurne;32471;209
GM0765;Pekela;12196;210
GM0766;Dongen;26222;211
GM0770;Eersel;19314;212
GM0772;Eindhoven;234400;213
GM0777;Etten-Leur;43878;214
GM0779;Geertruidenberg;21545;215
GM0784;Gilze en Rijen;26431;216
GM0785;Goirle;23906;217
GM0786;Grave;12436;218
GM0788;Haaren;14370;219
GM0794;Helmond;92424;220
GM0796;'s-Hertogenbosch;155112;221
GM0797;Heusden;44692;222
GM0798;Hilvarenbeek;15518;223
GM0809;Loon op Zand;23408;224
GM0815;Mill en Sint Hubert;10939;225
GM0820;Nuenen c.a.;23383;226
GM0823;Oirschot;18714;227
GM0824;Oisterwijk;26245;228
GM0826;Oosterhout;55982;229
GM0828;Oss;91915;230
GM0840;Rucphen;22879;231
GM0845;Sint-Michielsgestel;29208;232
GM0847;Someren;19368;233
GM0848;Son en Breugel;17322;234
GM0851;Steenbergen;24416;235
GM0852;Waterland;17424;236
GM0855;Tilburg;219797;237
GM0856;Uden;42119;238
GM0858;Valkenswaard;31193;239
GM0861;Veldhoven;45466;240
GM0865;Vught;26558;241
GM0866;Waalre;17456;242
GM0867;Waalwijk;48637;243
GM0873;Woensdrecht;21876;244
GM0879;Zundert;21829;245
GM0880;Wormerland;16270;246
GM0882;Landgraaf;37445;247
GM0888;Beek;15865;248
GM0889;Beesel;13482;249
GM0893;Bergen (L);13085;250
GM0899;Brunssum;27821;251
GM0907;Gennep;16921;252
GM0917;Heerlen;87088;253
GM0928;Kerkrade;45749;254
GM0935;Maastricht;121579;255
GM0938;Meerssen;18828;256
GM0944;Mook en Middelaar;7847;257
GM0946;Nederweert;17019;258
GM0957;Roermond;58260;259
GM0965;Simpelveld;10555;260
GM0971;Stein;25007;261
GM0981;Vaals;10105;262
GM0983;Venlo;101802;263
GM0984;Venray;43614;264
GM0986;Voerendaal;12475;265
GM0988;Weert;50105;266
GM0994;Valkenburg aan de Geul;16367;267
GM0995;Lelystad;78600;268
GM1507;Horst aan de Maas;42429;269
GM1509;Oude IJsselstreek;39389;270
GM1525;Teylingen;37440;271
GM1581;Utrechtse Heuvelrug;49581;272
GM1586;Oost Gelre;29627;273
GM1598;Koggenland;22749;274
GM1621;Lansingerland;62384;275
GM1640;Leudal;35879;276
GM1641;Maasgouw;23965;277
GM1652;Gemert-Bakel;30723;278
GM1655;Halderberge;30284;279
GM1658;Heeze-Leende;16152;280
GM1659;Laarbeek;22523;281
GM1667;Reusel-De Mierden;13112;282
GM1669;Roerdalen;20574;283
GM1674;Roosendaal;77251;284
GM1676;Schouwen-Duiveland;33839;285
GM1680;Aa en Hunze;25445;286
GM1681;Borger-Odoorn;25559;287
GM1684;Cuijk;25130;288
GM1685;Landerd;15730;289
GM1690;De Wolden;24330;290
GM1695;Noord-Beveland;7392;291
GM1696;Wijdemeren;24358;292
GM1699;Noordenveld;31253;293
GM1700;Twenterand;33743;294
GM1701;Westerveld;19460;295
GM1702;Sint Anthonis;11664;296
GM1705;Lingewaard;46601;297
GM1706;Cranendonck;21138;298
GM1708;Steenwijkerland;44126;299
GM1709;Moerdijk;37129;300
GM1711;Echt-Susteren;31610;301
GM1714;Sluis;23210;302
GM1719;Drimmelen;27272;303
GM1721;Bernheze;31240;304
GM1723;Alphen-Chaam;10203;305
GM1724;Bergeijk;18635;306
GM1728;Bladel;20394;307
GM1729;Gulpen-Wittem;14171;308
GM1730;Tynaarlo;33887;309
GM1731;Midden-Drenthe;33185;310
GM1734;Overbetuwe;47906;311
GM1735;Hof van Twente;35017;312
GM1740;Neder-Betuwe;24339;313
GM1742;Rijssen-Holten;38177;314
GM1771;Geldrop-Mierlo;39727;315
GM1773;Olst-Wijhe;18252;316
GM1774;Dinkelland;26462;317
GM1783;Westland;110375;318
GM1842;Midden-Delfland;19341;319
GM1859;Berkelland;43747;320
GM1876;Bronckhorst;36055;321
GM1883;Sittard-Geleen;92430;322
GM1884;Kaag en Braassem;27297;323
GM1891;Dantumadiel;18922;324
GM1892;Zuidplas;43885;325
GM1894;Peel en Maas;43425;326
GM1895;Oldambt;38209;327
GM1896;Zwartewaterland;22685;328
GM1900;Súdwest Fryslân;89987;329
